POSTE,DATE,RR,QRR,DRR,QDRR,TN,QTN,HTN,QHTN,TX,QTX,HTX,QHTX,TM,QTM,TMNX,QTMNX,TNSOL,QTNSOL,TN50,QTN50,DG,QDG,TAMPLI,QTAMPLI,TNTXM,QTNTXM,PMERM,QPMERM,PMERMIN,QPMERMIN,FFM,QFFM,FXI,QFXI,DXI,QDXI,HXI,QHXI,FXY,QFXY,DXY,QDXY,HXY,QHXY,FF2M,QFF2M,FXI2,QFXI2,DXI2,QDXI2,HXI2,QHXI2,FXI3S,QFXI3S,DXI3S,QDXI3S,HXI3S,QHXI3S,UN,QUN,HUN,QHUN,UX,QUX,HUX,QHUX,DHUMI40,QDHUMI40,DHUMI80,QDHUMI80,TSVM,QTSVM,DHUMEC,QDHUMEC,UM,QUM,INST,QINST,GLOT,QGLOT,DIFT,QDIFT,DIRT,QDIRT,SIGMA,QSIGMA,INFRART,QINFRART,UV_INDICEX,QUV_INDICEX,NB300,QNB300,BA300,QBA300,NEIG,QNEIG,BROU,QBROU,ORAG,QORAG,GRESIL,QGRESIL,GRELE,QGRELE,ROSEE,QROSEE,VERGLAS,QVERGLAS,SOLNEIGE,QSOLNEIGE,GELEE,QGELEE,FUMEE,QFUMEE,BRUME,QBRUME,ECLAIR,QECLAIR,ETPMON,QETPMON,ETPGRILLE,QETPGRILLE,UV,QUV,TMERMAX,QTMERMAX,TMERMIN,QTMERMIN,HNEIGEF,QHNEIGEF,NEIGETOTX,QNEIGETOTX,NEIGETOT06,QNEIGETOT06
6029001,20250224,0.0,1,0.0,9.0,8.7,1,621,9,17.1,1,1356,9,12.8,1,12.9,1,7.1,9,,,0,9,8.4,1,12.9,1,1026.3,1,1023.1,1,1.7,1,8.1,1,210,1,1405,9,5.1,1,170,1,1209,9,,,,,,,,,6.9,1,,,1410,9,70,1,904,9,97,1,2236,9,0,9,1129,9,13.0,9,,,88,1,,,,,,,,,,,,,,,,,,,0.0,9.0,1,9,0.0,9.0,,,,,,,,,,,,,0.0,9.0,1,9,,,,,1.1,9,,,,,,,,,,,,
6029001,20250225,0.0,1,8.0,9.0,7.7,1,230,9,14.9,1,1105,9,11.8,1,11.3,1,5.0,9,,,0,9,7.2,1,11.3,1,1018.2,1,1012.8,1,1.7,1,9.0,1,250,9,2004,9,5.1,1,270,9,2009,9,,,,,,,,,8.4,1,,,2010,9,49,1,2338,9,98,1,18,9,0,9,979,9,11.3,9,,,82,1,,,,,,,,,,,,,,,,,,,0.0,9.0,1,9,0.0,9.0,,,,,,,,,,,,,0.0,9.0,1,9,,,,,1.2,9,,,,,,,,,,,,
6029001,20250226,0.0,1,0.0,9.0,5.9,1,358,9,19.8,1,1419,9,11.4,1,12.85,1,2.7,9,,,0,9,13.9,1,12.9,1,1013.3,1,1011.0,1,2.7,1,10.8,1,230,1,1333,9,6.9,1,240,1,1339,9,,,,,,,,,10.4,1,,,1333,9,29,1,1511,9,80,1,223,9,346,9,93,9,7.6,9,,,60,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,0.0,9.0,,,,,,,,,,,,,0.0,9.0,0,9,,,,,3.2,9,,,,,,,,,,,,
6029001,20250227,0.0,1,0.0,9.0,3.9,1,545,9,16.6,1,1037,9,9.6,1,10.25,1,0.9,9,,,0,9,12.7,1,10.3,1,1016.7,1,1015.4,1,2.3,1,7.2,1,160,1,1148,9,4.3,1,180,1,1552,9,,,,,,,,,6.9,1,,,1148,9,32,1,1357,9,89,1,2342,9,52,9,269,9,7.8,9,,,67,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,0.0,9.0,,,,,,,,,,,,,0.0,9.0,0,9,,,,,2.5,9,,,,,,,,,,,,
6029001,20250228,0.2,1,0.0,9.0,5.7,1,226,9,15.6,1,1118,9,10.3,1,10.65,1,3.4,9,,,0,9,9.9,1,10.7,1,1018.3,1,1017.3,1,2.2,1,6.4,1,170,1,1237,9,4.0,1,180,1,1307,9,,,,,,,,,5.9,1,,,1237,9,55,1,1118,9,93,1,2231,9,0,9,780,9,9.7,9,,,78,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,0.0,9.0,,,,,,,,,,,,,0.0,9.0,0,9,,,,,1.8,9,,,,,,,,,,,,
6029001,20250301,0.0,1,0.0,9.0,5.5,1,605,9,16.2,1,1112,9,10.2,1,10.85,1,4.4,9,,,0,9,10.7,1,10.9,1,1019.2,1,1017.4,1,3.2,1,14.9,1,70,1,1345,9,5.7,1,70,1,1352,9,,,,,,,,,12.4,1,,,1345,9,48,1,1633,9,94,1,4,9,0,9,613,9,8.7,9,,,72,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,0.0,9.0,,,,,,,,,,,,,0.0,9.0,0,9,,,,,2.3,9,,,,,,,,,,,,
6029001,20250301,0.0,1,0.0,9.0,5.5,1,605,9,16.2,1,1112,9,10.2,1,10.85,1,4.4,9,,,0,9,10.7,1,10.9,1,1019.2,1,1017.4,1,3.2,1,14.9,1,70,1,1345,9,5.7,1,70,1,1352,9,,,,,,,,,12.4,1,,,1345,9,48,1,1633,9,94,1,4,9,0,9,613,9,8.7,9,,,72,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,0.0,9.0,,,,,,,,,,,,,0.0,9.0,0,9,,,,,2.3,9,,,,,,,,,,,,
6029001,20250302,0.0,1,0.0,9.0,4.3,1,556,9,17.9,1,1223,9,10.5,1,11.1,1,1.4,9,,,0,9,13.6,1,11.1,1,1023.8,1,1021.4,1,2.7,1,11.7,1,90,1,1404,9,5.7,1,100,1,1249,9,,,,,,,,,10.2,1,,,1347,9,34,1,1113,9,80,1,406,9,381,9,15,9,7.5,9,,,62,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,0.0,9.0,,,,,,,,,,,,,0.0,9.0,0,9,,,,,3.0,9,,,,,,,,,,,,
6029001,20250303,0.0,1,0.0,9.0,4.2,1,620,9,16.4,1,1228,9,9.5,1,10.3,1,1.7,9,,,0,9,12.2,1,10.3,1,1025.8,1,1024.5,1,2.6,1,7.5,1,140,1,1113,9,4.8,1,140,1,1113,9,,,,,,,,,6.6,1,,,1055,9,34,1,934,9,83,1,244,9,86,9,328,9,7.4,9,,,64,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,0.0,9.0,,,,,,,,,,,,,0.0,9.0,0,9,,,,,3.0,9,,,,,,,,,,,,
6029001,20250304,0.0,1,0.0,9.0,3.3,1,559,9,16.9,1,1355,9,9.5,1,10.1,1,0.1,9,,,0,9,13.6,1,10.1,1,1024.5,1,1023.6,1,2.8,1,8.1,1,140,1,1244,9,4.9,1,140,1,1144,9,,,,,,,,,7.5,1,,,1244,9,34,1,1356,9,80,1,2152,9,105,9,33,9,7.1,9,,,62,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,0.0,9.0,,,,,,,,,,,,,0.0,9.0,0,9,,,,,3.1,9,,,,,,,,,,,,
6029001,20250305,0.0,1,0.0,9.0,3.9,1,557,9,17.5,1,1441,9,10.3,1,10.7,1,1.5,9,,,0,9,13.6,1,10.7,1,1025.7,1,1024.4,1,3.0,1,9.1,1,110,1,1023,9,4.7,1,70,1,1407,9,,,,,,,,,8.6,1,,,1023,9,34,1,1400,9,82,1,608,9,145,9,122,9,7.4,9,,,62,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,0.0,9.0,,,,,,,,,,,,,0.0,9.0,0,9,,,,,3.3,9,,,,,,,,,,,,
6029001,20250306,0.0,1,0.0,9.0,4.0,1,404,9,17.3,1,1203,9,11.3,1,10.65,1,2.6,9,,,0,9,13.3,1,10.7,1,1024.7,1,1022.6,1,2.7,1,10.1,1,110,9,2125,9,4.8,1,120,1,1023,9,,,,,,,,,9.3,1,,,1156,9,41,1,1156,9,82,1,600,9,0,9,162,9,8.4,9,,,64,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,0.0,9.0,,,,,,,,,,,,,,,1,9,,,,,2.9,9,,,,,,,,,,,,
6029001,20250306,0.0,1,0.0,9.0,4.0,1,404,9,17.3,1,1203,9,11.3,1,10.65,1,2.6,9,,,0,9,13.3,1,10.7,1,1024.7,1,1022.6,1,2.7,1,10.1,1,110,9,2125,9,4.8,1,120,1,1023,9,,,,,,,,,9.3,1,,,1156,9,41,1,1156,9,82,1,600,9,0,9,162,9,8.4,9,,,64,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,0.0,9.0,,,,,,,,,,,,,,,1,9,,,,,2.9,9,,,,,,,,,,,,
6029001,20250307,0.0,1,0.0,9.0,5.8,1,345,9,17.9,1,1230,9,11.4,1,11.85,1,4.2,9,,,0,9,12.1,1,11.9,1,1019.5,1,1017.1,1,2.6,1,11.9,1,90,1,953,9,5.8,1,70,1,1009,9,,,,,,,,,10.9,1,,,953,9,38,1,1305,9,80,1,322,9,52,9,9,9,8.2,9,,,62,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,0.0,9.0,,,,,,,,,,,,,0.0,9.0,0,9,,,,,3.1,9,,,,,,,,,,,,
6029001,20250308,0.0,1,0.0,9.0,4.9,1,435,9,17.3,1,1233,9,11.0,1,11.1,1,2.9,9,,,0,9,12.4,1,11.1,1,1014.7,1,1012.4,1,2.3,1,7.5,1,90,1,1532,9,4.1,1,150,1,1342,9,,,,,,,,,6.8,1,,,1532,9,40,1,1527,9,81,1,223,9,4,9,183,9,8.4,9,,,65,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,0.0,9.0,,,,,,,,,,,,,,,1,9,,,,,3.2,9,,,,,,,,,,,,
6029001,20250309,39.9,1,631.0,9.0,7.6,1,2228,9,17.4,1,1026,9,13.5,1,12.5,1,4.7,9,,,0,9,9.8,1,12.5,1,1006.9,1,1002.6,1,4.2,1,19.5,1,70,1,1152,9,9.0,1,70,1,1258,9,,,,,,,,,18.1,1,,,1152,9,41,1,822,9,94,1,2034,9,0,9,467,9,10.5,9,,,70,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,0.0,9.0,,,,,,,,,,,,,0.0,9.0,0,9,,,,,2.5,9,,,,,,,,,,,,
6029001,20250310,16.9,1,764.0,9.0,7.6,1,538,9,15.5,1,1023,9,11.2,1,11.55,1,3.7,9,,,0,9,7.9,1,11.6,1,1006.7,1,1004.1,1,1.8,1,7.3,1,170,1,1452,9,5.1,1,170,1,1456,9,,,,,,,,,7.0,1,,,1452,9,60,1,1115,9,99,1,604,9,0,9,1134,9,11.7,9,,,89,1,,,,,,,,,,,,,,,,,,,0.0,9.0,1,9,0.0,9.0,,,,,,,,,,,,,0.0,9.0,1,9,,,,,1.2,9,,,,,,,,,,,,
6029001,20250311,15.1,1,409.0,9.0,9.7,1,2317,9,14.6,1,1327,9,11.7,1,12.15,1,9.2,9,,,0,9,4.9,1,12.2,1,1004.6,1,1001.6,1,1.8,1,9.7,1,340,9,2028,9,5.1,1,330,9,2032,9,,,,,,,,,9.2,1,,,2028,9,75,1,846,9,96,1,303,9,0,9,1193,9,12.0,9,,,88,1,,,,,,,,,,,,,,,,,,,0.0,9.0,0,9,1.0,9.0,,,,,,,,,,,,,0.0,9.0,0,9,,,,,1.2,9,,,,,,,,,,,,
